wallet_id,anomaly_reason,aggregated_lp_score,total_deposit_all_time,sum_pool_total_score,diff_sum_agg,score_per_deposit
0x01b94f4f57d816d1dc6fcc7312cfdcf97ab2d373,IQR; robust-z; ,309.0,179.95002333293115,309.0,0.0,1.7171434283634932
0x01b78c7937a1d0a922e92aae318f2ae18e9db08a,IQR; robust-z; ,541.0,108.92764056523173,541.0,0.0,4.966599819776874
0x01c8aa09a881544e5c3facf8aef8cf7c5d198b3d,IQR; robust-z; ,536.35,304.6643658726793,631.0,94.64999999999998,1.7604618724073011
0x029290c564ef921c56a784aa16c97e930daf7372,IQR; robust-z; ,532.95,348.0297706732655,627.0,94.04999999999995,1.5313345147715536
0x027f435daf114317ab8a630e9cfbf7c52465955a,zero_deposit; ,50.0,0.0,50.0,0.0,
0x0216f17df3d664f72f97f7f669cf72468cba9e37,robust-z; ,187.52,210.2199318335142,283.0,95.47999999999999,0.8920181752723065
0x01fb3c115c2eb984c8caf69a1da8e4b64f16d0a3,IQR; robust-z; ,397.0,100.01276418328368,397.0,0.0,3.9694933265963597
0x01b20d8be6a8acf767d7623951f02b11ed75ca3b,zero_deposit; ,100.0,0.0,100.0,0.0,
0x019497ee369397e4c5e253468fcf5887b12d9522,robust-z; ,620.0,782.336951321024,620.0,0.0,0.7924974001970531
0x0149562286fbfa78be52a73fffe55bbd18369e06,zero_deposit; ,57.5,0.0,50.0,-7.5,
0x01f8b9484b95f9e118a5b0593e513bdba47ad7da,zero_deposit; ,101.0,0.0,101.0,0.0,
0x020f9cad92570a9f2276e5fbaeb4c11241b78f8c,mismatch_sum_agg; ,596.84,31456.688966871072,1125.0,528.16,0.018973389113792875
0x0162f96ea0ce12581fdc0349ed083cb86a9833f3,IQR; robust-z; ,512.0,100.16466824901876,512.0,0.0,5.1115828460302986
0x0101e5c4bdfed5e9b77d86a59471e98a493a8990,IQR; robust-z; ,485.35,149.46650217469465,571.0,85.64999999999998,3.2472158840830354
0x021200c44c8761ff786a915d1de5b8f64df46070,zero_deposit; ,68.85,0.0,81.0,12.150000000000006,
0x027ab675f3a0a601e72dc567e8f0b6e20cc63738,IQR; robust-z; ,257.55,177.32163620221797,303.0,45.44999999999999,1.4524454291990034
0x01402366d9848101f4770d4cddf9b2df3f572760,zero_deposit; ,80.0,0.0,80.0,0.0,
0x015f1180f1d80a54e9fb844902d8f65727ab0f10,zero_deposit; ,46.75,0.0,55.0,8.25,
0x01e47caed77fda74555012bdb4f4378691e7513b,robust-z; ,283.05,353.83542087757786,333.0,49.94999999999999,0.7999481773135748
0x01ce13624025d7cba80024dace991f2cf0f3ce76,robust-z; ,278.0,362.9644702849741,278.0,0.0,0.765915186634477
0x01a19aea692ece3a079f196cbd2f6504907fbbf6,mismatch_sum_agg; ,245.94,12857.58014982067,863.0,617.06,0.019128016091226174
0x01b75b3617088ee8f37f7fc6e020beee84b29a5d,IQR; robust-z; ,307.0,111.5553903246333,307.0,0.0,2.751996108001688
0x00fe6e870ed3e187f47c4e0c42ddd608ad8ae29d,zero_deposit; ,47.0,0.0,47.0,0.0,
0x01b2cc9aae246a01793e08d9fb7ac11082fcd9c2,zero_deposit; ,86.7,0.0,102.0,15.299999999999997,
0x02ac3df272eb15093ecbea70253d8de4c5d4de9e,robust-z; ,596.0,590.3311532199288,596.0,0.0,1.0096028250400657
0x02ee276520991e638934055fc23846aa107af0f4,zero_deposit; ,61.0,0.0,61.0,0.0,
0x02df1d53cb6f35e183b35ca8ebc7f5515b9525d0,IQR; robust-z; ,262.65,165.75524218965177,309.0,46.35000000000002,1.5845652694319277
0x02f3b466c295b00f1ba72a772dddb315cda3ab4c,robust-z; ,256.7,277.77282248446693,302.0,45.30000000000001,0.9241364857224456
0x02a125a4a07526314b174874a5b9d10b00f4f27a,IQR; robust-z; ,212.0,100.75766365062998,212.0,0.0,2.1040583149594942
0x025349c3d8f26380db0d74634f41fece5d5c88d4,zero_deposit; ,84.0,0.0,84.0,0.0,
0x0267cef0e0ad7e46b067a0f00624ae387e4eaccf,mismatch_sum_agg; ,214.65,7217.373710574773,779.0,564.35,0.029740735149338116
0x03104c9661f97a1a882a797964f46d968d518126,IQR; robust-z; ,253.3,209.60095968444017,298.0,44.69999999999999,1.2084868331774334
0x037ea7f18cbbba0d628edbef466a266ff2be84c4,IQR; robust-z; ,372.0,299.33846241504983,372.0,0.0,1.2427403982726444
0x025b5d4ae6d3888ce477c8de7133b5f650c87a8a,robust-z; ,313.0,325.80275782165563,313.0,0.0,0.960703961171919
0x0268a1faee4d2a67529be1552a1f473332e0907a,mismatch_sum_agg; ,401.53,1206779.2013325826,928.0,526.47,0.0003327286379783572
0x030f249879c79331b7a154c48e27eedcd972bde9,mismatch_sum_agg; ,529.38,303036.2207278501,1041.0,511.62,0.0017469198854463805
0x01f237fd4688aa8a973e3f2de3db42b334b1b497,IQR; robust-z; ,354.45,274.5899264510488,417.0,62.55000000000001,1.2908339522177914
0x03e839d7f1329c859c796eced60024d07ed9b882,zero_deposit; ,64.4,0.0,56.0,-8.400000000000006,
0x03a4e777945d1504fcd476774b2b3e5773100a60,robust-z; ,405.45,389.4506823937016,477.0,71.55000000000001,1.0410817552249771
0x0270072a39740adc53c8a514bcf68c49aa25ce47,robust-z; mismatch_sum_agg; ,453.24,541.3191373415261,999.0,545.76,0.8372879669946793
0x021ebb6617ee185f3692cff28307dea881eb7262,mismatch_sum_agg; ,249.1,5101.667406859483,1011.0,761.9,0.04882717357565702
0x032780008a6fa49ba63d6ae30b63f7d4df311e19,zero_deposit; ,47.0,0.0,47.0,0.0,
0x035a23daa44cde66c590c252c8cfa1343ca32c31,IQR; robust-z; ,429.0,230.96710165269096,429.0,0.0,1.85740738369352
0x0373152acdbd89a889bc8829ea9042816357fa87,zero_deposit; ,90.95,0.0,107.0,16.049999999999997,
0x0258dad78f22319f54ff4513a8560e4f656184c7,zero_deposit; ,51.0,0.0,51.0,0.0,
0x033f68fd9df6bac726e6651e95ac399dbca3dc58,zero_deposit; ,51.75,0.0,45.0,-6.75,
0x03722e114b605b2ff1511323aa5fc37e213e0cf8,IQR; robust-z; ,219.3,171.48941520797388,258.0,38.69999999999999,1.278796127061509
0x037b3abe164596245f99c5104c65ed4fd6259ccd,IQR; robust-z; ,575.0,199.88705297393813,575.0,0.0,2.8766245309293255
0x02d8acbd6697011932886c316b8a17ff79f32293,zero_deposit; ,65.0,0.0,65.0,0.0,
0x0310910666aefc15b662078b640504efdb6adada,zero_deposit; ,59.8,0.0,52.0,-7.799999999999997,
0x03902f318d9877f87f988fd2414008a3547e0769,IQR; robust-z; ,230.0,113.27300601009172,230.0,0.0,2.030492595733787
0x03c3e07233201c582b1d7652632c9219653dec8f,IQR; robust-z; ,526.15,134.1808273513163,619.0,92.85000000000002,3.9212010418032235
0x020c18c69dc3be4cefc96fdf629c1483bb2eceaf,IQR; robust-z; ,529.55,137.51548674285365,623.0,93.45000000000005,3.850839003975088
0x0302c02270dcaaec331ee3a54139b301006560ef,robust-z; ,385.9,460.5297885939757,454.0,68.10000000000002,0.8379479667931475
0x03f56445ecd862726921fb1d9aa965b33c24c470,IQR; robust-z; ,230.0,164.33062232999734,230.0,0.0,1.399617409944021
0x039c450ea90f2311e1bbd9c8c44c607e4c07b060,robust-z; ,244.8,255.11799619518416,288.0,43.19999999999999,0.9595559844892709
0x03f0a3e10d249bc5178ee3803cef8efe2d1740f9,zero_deposit; ,107.0,0.0,107.0,0.0,
0x035c21036bdec384c4401005f7f9e1537a26d6a5,robust-z; ,565.0,669.3245241523304,565.0,0.0,0.8441346157389755
0x033eaa302970bf36853352ef804a403ddc65eab9,IQR; robust-z; ,512.0,130.3307305444538,512.0,0.0,3.9284671992639892
0x0279d68b4a59251da9f84faec66b88f6a4b1f038,IQR; robust-z; ,630.0,109.16360416481376,630.0,0.0,5.77115426721194
0x038956eb507df584df4664c143e453317820b5dc,IQR; robust-z; ,325.0,268.6587848555985,325.0,0.0,1.2097129084190728
0x03aa122abab15aa852b1450596dbacd2345317bd,zero_deposit; ,56.0,0.0,56.0,0.0,
0x03a0eee3fd0c02f25038258455413b90262364f1,robust-z; ,380.0,409.1119148958964,380.0,0.0,0.9288411951939745
0x031fae4608e2eef60879d94e890bf67a66e89d52,IQR; robust-z; ,368.9,175.77980069772232,434.0,65.10000000000002,2.0986484142986064
0x03ba9b229b3205a550528dbd758f6bd21196a1a1,IQR; robust-z; ,579.6,121.50097,504.0,-75.60000000000002,4.770332286236069
0x0245e6ccb8f0a2713edd6df8e189ee7d422adb82,robust-z; ,390.15,490.1654962635145,459.0,68.85000000000002,0.7959556577810489
0x024c90e89d8840e6337c88f1f07a567cf5a42f6d,zero_deposit; ,85.85,0.0,101.0,15.150000000000006,
0x02de473d0c4348c8bba8b87d70cf18418580eb8b,IQR; robust-z; ,584.0,331.5083149973499,584.0,0.0,1.7616451038480545
0x0293f6ec26e062e07a88288b76c2777c04ab5054,IQR; robust-z; ,476.85,100.65963787814788,561.0,84.14999999999998,4.737251296068084
0x039d55cb83a4eff548f3cf2c6e2c20e2517efa3b,IQR; robust-z; ,138.55,110.45912310065587,163.0,24.44999999999999,1.2543101566517627
